narration,mode,type,category,subcategory
emi auto debit sbi acc,AUTO_DEBIT,Debit,expense,loan
salary credited via hdfc,NEFT,Credit,income,salary
upi txn to zomato,UPI,Debit,expense,food
paid electricity bill online,NETBANKING,Debit,expense,bills
mutual fund sip deducted,AUTO_DEBIT,Debit,investment,mutual_funds
got interest from fd,NEFT,Credit,investment,fd_interest
amazon pay txn,UPI,Debit,expense,shopping
credited bonus amount,NEFT,Credit,income,salary
fuel payment hp petrol,UPI,Debit,expense,transport
insurance premium paid,AUTO_DEBIT,Debit,expense,insurance
emi paid axis bank,AUTO_DEBIT,Debit,expense,loan
food order swiggy,UPI,Debit,expense,food
credited stock dividend,NEFT,Credit,investment,stocks
transfer to friend gpay,UPI,Debit,expense,others
received money from raj,UPI,Credit,income,others
shopping flipkart order,UPI,Debit,expense,shopping
electricity bill paid tata,NETBANKING,Debit,expense,bills
salary jan credited,NEFT,Credit,income,salary
rent paid via upi,UPI,Debit,expense,bills
insurance claim received,NEFT,Credit,income,others
emi auto debit icici,AUTO_DEBIT,Debit,expense,loan
stock profit credited,NEFT,Credit,investment,stocks
coffee payment starbucks,UPI,Debit,expense,food
gas bill paid,UPI,Debit,expense,bills
received cashback amazon,UPI,Credit,income,others
investment in mutual fund,NETBANKING,Debit,investment,mutual_funds
paid for uber ride,UPI,Debit,expense,transport
bonus credited by company,NEFT,Credit,income,salary
fd interest payout,NEFT,Credit,investment,fd_interest
mobile recharge jio,UPI,Debit,expense,bills
grocery payment bigbasket,UPI,Debit,expense,food
credit card bill paid,NETBANKING,Debit,expense,bills
received refund flipkart,UPI,Credit,income,others
tax payment done,NETBANKING,Debit,expense,bills
salary feb credit,NEFT,Credit,income,salary
upi payment to ola,UPI,Debit,expense,transport
mutual fund redemption,NETBANKING,Credit,investment,mutual_funds
interest credited bank,NEFT,Credit,investment,fd_interest
restaurant bill paid,UPI,Debit,expense,food
transfer to savings acc,NEFT,Debit,investment,others
salary credited march,NEFT,Credit,income,salary
emi paid home loan,AUTO_DEBIT,Debit,expense,loan
online shopping myntra,UPI,Debit,expense,shopping
received rent amount,NEFT,Credit,income,others
petrol payment shell,UPI,Debit,expense,transport
electricity bill adani,NETBANKING,Debit,expense,bills
dividend credited zerodha,NEFT,Credit,investment,stocks
food delivery zomato,UPI,Debit,expense,food
salary april credited,NEFT,Credit,income,salary
insurance premium lic,AUTO_DEBIT,Debit,expense,insurance
upi transfer to mom,UPI,Debit,expense,others
received gift money,UPI,Credit,income,others
netbanking fd booking,NETBANKING,Debit,investment,fd_booking
interest received fd,NEFT,Credit,investment,fd_interest
cab payment ola,UPI,Debit,expense,transport
shopping payment amazon,UPI,Debit,expense,shopping
salary may credit,NEFT,Credit,income,salary
loan emi deducted,AUTO_DEBIT,Debit,expense,loan
electric bill paid online,NETBANKING,Debit,expense,bills
received cashback gpay,UPI,Credit,income,others
restaurant payment dineout,UPI,Debit,expense,food
insurance premium auto debit,AUTO_DEBIT,Debit,expense,insurance
stock sold profit credited,NEFT,Credit,investment,stocks
salary june credited,NEFT,Credit,income,salary
upi payment swiggy,UPI,Debit,expense,food
fuel payment indian oil,UPI,Debit,expense,transport
bill payment internet,NETBANKING,Debit,expense,bills
mutual fund sip invested,AUTO_DEBIT,Debit,investment,mutual_funds
interest payout savings,NEFT,Credit,investment,fd_interest
received bonus amount,NEFT,Credit,income,salary
emi auto debit loan,AUTO_DEBIT,Debit,expense,loan
upi txn flipkart,UPI,Debit,expense,shopping
electricity payment online,NETBANKING,Debit,expense,bills
salary july credited,NEFT,Credit,income,salary
received refund amazon,UPI,Credit,income,others
insurance premium hdfc,AUTO_DEBIT,Debit,expense,insurance
petrol pump payment,UPI,Debit,expense,transport
food bill paid cafe,UPI,Debit,expense,food
investment stocks buy,NETBANKING,Debit,investment,stocks
salary august credited,NEFT,Credit,income,salary
emi paid car loan,AUTO_DEBIT,Debit,expense,loan
upi payment grocery,UPI,Debit,expense,food
electric bill paid,NETBANKING,Debit,expense,bills
interest credited fd,NEFT,Credit,investment,fd_interest
received salary sept,NEFT,Credit,income,salary
insurance paid auto,AUTO_DEBIT,Debit,expense,insurance
shopping myntra order,UPI,Debit,expense,shopping
fuel payment hp,UPI,Debit,expense,transport
upi txn restaurant,UPI,Debit,expense,food
salary october credited,NEFT,Credit,income,salary
emi paid personal loan,AUTO_DEBIT,Debit,expense,loan
electricity bill online,NETBANKING,Debit,expense,bills
received dividend,NEFT,Credit,investment,stocks
upi payment amazon,UPI,Debit,expense,shopping
salary november credited,NEFT,Credit,income,salary
insurance premium auto,AUTO_DEBIT,Debit,expense,insurance
fuel payment petrol pump,UPI,Debit,expense,transport
restaurant payment zomato,UPI,Debit,expense,food
salary december credited,NEFT,Credit,income,salary
