narration,mode,type,category,subcategory

interest from fixed deposit,NEFT,Credit,investment,fd_interest
FD interest payout,NEFT,Credit,investment,fd_interest
Fixed deposit interest,NEFT,Credit,investment,fd_interest
bank interest received,NEFT,Credit,investment,fd_interest
FD maturity interest,NEFT,Credit,investment,fd_interest
Bank FD interest credit,NEFT,Credit,investment,fd_interest
FD interest received,NEFT,Credit,investment,fd_interest
roi amount credited,NEFT,Credit,investment,fd_interest
Term deposit interest,NEFT,Credit,investment,fd_interest
FD interest deposit,NEFT,Credit,investment,fd_interest

FD booking via netbanking,NETBANKING,Debit,investment,fd_booking
Open FD online,NETBANKING,Debit,investment,fd_booking
FD created,NETBANKING,Debit,investment,fd_booking
New FD booking,NETBANKING,Debit,investment,fd_booking
FD account opened,NETBANKING,Debit,investment,fd_booking
Fixed deposit creation,NETBANKING,Debit,investment,fd_booking
FD investment booking,NETBANKING,Debit,investment,fd_booking
Deposit booking online,NETBANKING,Debit,investment,fd_booking

Stock dividend credited,NEFT,Credit,investment,stocks
Equity dividend payout,NEFT,Credit,investment,stocks
Share market profit credit,NEFT,Credit,investment,stocks
Stock return credited,NEFT,Credit,investment,stocks
Trading profit received,NEFT,Credit,investment,stocks
Dividend from shares,NEFT,Credit,investment,stocks
Stock gain credited,NEFT,Credit,investment,stocks
Equity profit payout,NEFT,Credit,investment,stocks

Salary credited,NEFT,Credit,income,salary
Monthly salary,NEFT,Credit,income,salary
Payroll credit,NEFT,Credit,income,salary
Salary from company,NEFT,Credit,income,salary
Employee salary deposit,NEFT,Credit,income,salary
Salary NEFT transfer,NEFT,Credit,income,salary
Company salary credit,NEFT,Credit,income,salary
Income salary deposit,NEFT,Credit,income,salary

Swiggy payment,UPI,Debit,expense,food
Zomato order,UPI,Debit,expense,food
Restaurant bill payment,UPI,Debit,expense,food
Dinner payment,UPI,Debit,expense,food
Lunch order,UPI,Debit,expense,food
Cafe payment,UPI,Debit,expense,food
Food delivery payment,UPI,Debit,expense,food
Online food order,UPI,Debit,expense,food

Amazon purchase,UPI,Debit,expense,shopping
Flipkart order,UPI,Debit,expense,shopping
Online shopping payment,UPI,Debit,expense,shopping
Ecommerce purchase,UPI,Debit,expense,shopping
Retail shopping,UPI,Debit,expense,shopping
Clothing purchase,UPI,Debit,expense,shopping
Mall purchase,UPI,Debit,expense,shopping
Shopping payment online,UPI,Debit,expense,shopping

Electricity bill payment,UPI,Debit,expense,bills
Mobile recharge,UPI,Debit,expense,bills
Internet bill payment,UPI,Debit,expense,bills
Water bill payment,UPI,Debit,expense,bills
Credit card bill,NETBANKING,Debit,expense,bills
Utility bill payment,UPI,Debit,expense,bills
Broadband bill payment,UPI,Debit,expense,bills
Postpaid mobile bill,UPI,Debit,expense,bills

Uber ride payment,UPI,Debit,expense,transport
Ola cab charge,UPI,Debit,expense,transport
Taxi fare payment,UPI,Debit,expense,transport
Metro recharge,UPI,Debit,expense,transport
Bus ticket purchase,UPI,Debit,expense,transport
Fuel payment petrol pump,UPI,Debit,expense,transport
Diesel refill,UPI,Debit,expense,transport
Parking charges,UPI,Debit,expense,transport
Fastag recharge,UPI,Debit,expense,transport
Ride fare payment,UPI,Debit,expense,transport

apollo hospital bill,UPI,Debit,expense,health
Medical store purchase,UPI,Debit,expense,health
pharmacy medicine purchase,UPI,Debit,expense,health
pathology lab test payment,UPI,Debit,expense,health
blood test lab charges,UPI,Debit,expense,health
dr consultation clinic fee,UPI,Debit,expense,health
medical prescription purchase,UPI,Debit,expense,health

Insurance premium debit,AUTO_DEBIT,Debit,expense,insurance
Life insurance payment,AUTO_DEBIT,Debit,expense,insurance
Health insurance premium,AUTO_DEBIT,Debit,expense,insurance
Policy premium debit,AUTO_DEBIT,Debit,expense,insurance
Insurance renewal payment,AUTO_DEBIT,Debit,expense,insurance
Vehicle insurance payment,AUTO_DEBIT,Debit,expense,insurance
Term insurance premium,AUTO_DEBIT,Debit,expense,insurance
Insurance deduction,AUTO_DEBIT,Debit,expense,insurance

Loan EMI debit,AUTO_DEBIT,Debit,expense,loan
Home loan EMI payment,AUTO_DEBIT,Debit,expense,loan
Car loan EMI,AUTO_DEBIT,Debit,expense,loan
Personal loan payment,AUTO_DEBIT,Debit,expense,loan
Loan installment debit,AUTO_DEBIT,Debit,expense,loan
EMI deduction,AUTO_DEBIT,Debit,expense,loan
Loan repayment,AUTO_DEBIT,Debit,expense,loan
Bank loan EMI,AUTO_DEBIT,Debit,expense,loan
